name	length	run_2785_s_1_withindex_sequence.txt_AATTCAT	run_2785_s_1_withindex_sequence.txt_AGGCGAA	run_2785_s_1_withindex_sequence.txt_CTGCAAT	run_2785_s_1_withindex_sequence.txt_GGAGTCC	run_2785_s_1_withindex_sequence.txt_GTAAAAA	run_2785_s_1_withindex_sequence.txt_TGGCATA
AC004494.2	830	0	0	0	0	0	0
AC004520.1	1413	167	129	48	266	41	225
AC004522.1	654	0	0	1	1	11	0
AC004522.2	680	2	1	7	1	3	1
AC004528.1	641	0	0	1	1	1	0
AC004528.2	440	0	0	0	0	0	0
AC004534.1	489	0	1	6	1	4	0
AC004540.1	1702	1	1	7	1	7	1
AC004540.2	882	0	0	1	0	1	0
AC004542.1	264	0	0	0	0	0	0
AC004542.2	546	0	0	0	0	0	0
AC004543.1	369	0	7	22	7	17	0
AC004551.1	575	0	0	2	1	3	0
AC004552.1	348	0	0	0	1	0	0
AC004554.1	1468	0	2	15	2	18	0
AC004554.2	1893	0	1	14	2	17	0
AC004584.1	549	2	1	1	4	5	0
AC004584.2	410	1	0	1	3	1	1
AC004584.3	2356	31	35	28	96	33	86
AC004585.1	1198	0	0	1	0	4	0
AC004585.2	1473	0	0	2	2	4	0
AC004590.1	510	0	0	1	0	1	0
AC004593.1	798	77	66	14	76	16	82
AC004594.1	3458	9	7	17	29	25	42
AC004596.1	528	3	0	0	1	1	1
AC004597.1	561	0	0	2	1	2	0
AC004623.1	2127	2	1	1	0	0	4
AC004637.1	482	0	1	1	1	1	0
AC004656.1	4951	42	36	44	52	51	55
AC004672.1	2088	11	9	10	15	6	9
AC004672.2	574	5	8	2	3	0	5
AC004674.1	739	0	2	3	0	5	0
AC004678.1	929	1	2	0	2	0	5
AC004678.2	1002	11	15	1	18	2	20
AC004686.1	538	7	1	10	7	5	5
AC004687.1	1625	2	0	1	4	2	2
AC004690.1	328	1	2	12	2	15	0
AC004690.2	2064	1	4	25	11	25	0
AC004691.1	547	2	0	3	7	4	7
AC004691.2	1531	0	0	0	0	0	0
AC004692.1	424	0	0	5	0	12	0
AC004692.2	1205	0	2	6	0	4	0
AC004696.1	607	15	7	4	17	5	14
AC004696.2	331	2	5	3	5	5	7
AC004702.1	195	0	1	5	0	3	0
AC004704.1	583	2	3	13	1	8	1
AC004706.1	879	0	2	2	0	3	3
AC004706.2	294	0	0	0	0	0	0
AC004706.3	4151	1	2	9	3	16	3
AC004706.4	3537	2	0	3	0	1	0
AC004707.1	715	0	1	2	0	2	0
AC004754.1	2242	0	0	0	1	0	0
AC004771.1	583	3	5	2	8	0	8
AC004771.2	439	3	2	0	0	1	0
AC004771.3	551	1	0	0	0	0	0
AC004771.4	474	0	0	0	0	0	0
AC004771.5	542	2	1	1	1	1	0
AC004775.1	753	0	0	0	0	1	0
AC004777.1	287	0	0	0	1	0	0
AC004784.1	2168	2	0	7	3	8	0
AC004790.1	536	0	0	1	1	2	0
AC004790.2	572	0	0	0	1	0	0
AC004792.1	137	0	0	0	0	0	0
AC004801.1	360	11	11	7	10	14	14
AC004801.2	779	32	29	5	10	4	17
AC004801.3	962	0	0	0	1	0	1
AC004801.4	3112	1	3	15	4	17	0
AC004801.5	1044	1	2	3	2	9	0
AC004801.6	978	1	3	10	1	13	0
AC004801.7	2973	1	2	13	0	12	1
AC004803.1	3669	33	21	16	37	15	33
AC004805.1	1616	0	0	0	0	0	0
AC004805.2	482	2	3	5	6	5	5
AC004805.3	310	1	0	3	0	1	2
AC004808.1	721	1	1	0	0	2	1
AC004808.2	773	1	1	12	3	4	0
AC004812.1	146	0	0	0	0	0	0
AC004812.2	2094	3	3	4	7	5	7
AC004815.1	331	0	0	2	1	1	0
AC004816.1	716	4	0	2	0	4	1
AC004816.2	284	2	0	1	0	1	0
AC004817.1	721	2	2	10	3	6	2
