Geneid	HS18	HS19
ENSG00000042493	72	104
ENSG00000042753	534	658
ENSG00000042781	591	829
ENSG00000042813	37	40
ENSG00000042832	51	148
ENSG00000042980	54	80
ENSG00000043039	0	0
ENSG00000043093	726	1003
ENSG00000043143	1273	2853
ENSG00000043355	0	0
ENSG00000043462	179	352
ENSG00000043514	663	866
ENSG00000043591	1797	1544
ENSG00000044012	0	0
ENSG00000044090	589	904
ENSG00000044115	10813	10917
ENSG00000044446	1117	1702
ENSG00000044459	496	775
ENSG00000044524	967	1164
ENSG00000044574	7595	7383
ENSG00000046604	3644	4222
ENSG00000046647	306	443
ENSG00000046651	760	1256
ENSG00000046653	373	844
ENSG00000046774	0	0
ENSG00000046889	1408	2832
ENSG00000047056	1730	2218
ENSG00000047188	1174	1789
ENSG00000047230	421	832
ENSG00000047249	764	999
ENSG00000047315	2759	3589
ENSG00000047346	1555	2120
ENSG00000047365	171	563
ENSG00000047410	5452	7272
ENSG00000047457	211	351
ENSG00000047578	862	806
ENSG00000047579	253	320
ENSG00000047597	311	449
ENSG00000047617	685	1053
ENSG00000047621	379	595
ENSG00000047634	239	325
ENSG00000047644	2007	2355
ENSG00000047648	212	395
ENSG00000047662	24	41
ENSG00000047849	39313	29957
ENSG00000047932	1044	1399
ENSG00000047936	1	6
ENSG00000048028	4865	5040
ENSG00000048052	1574	1482
ENSG00000048140	428	526
ENSG00000048162	225	231
ENSG00000048342	1015	1880
ENSG00000048392	738	841
ENSG00000048405	700	1084
ENSG00000048462	11	25
ENSG00000048471	934	1694
ENSG00000048540	271	600
ENSG00000048544	654	855
ENSG00000048545	2	0
ENSG00000048649	2040	2842
ENSG00000048707	9712	12151
ENSG00000048740	3596	4817
ENSG00000048828	4136	5037
ENSG00000048991	739	785
ENSG00000049089	62	90
ENSG00000049130	283	655
ENSG00000049167	524	774
ENSG00000049192	101	101
ENSG00000049239	3498	6581
ENSG00000049245	1194	1995
ENSG00000049246	2196	4878
ENSG00000049247	1	9
ENSG00000049249	5	13
ENSG00000049283	174	359
ENSG00000049323	10931	10248
ENSG00000049449	199	383
ENSG00000049540	2449	3590
ENSG00000049541	186	258
ENSG00000049618	4616	7108
ENSG00000049656	240	207
ENSG00000049759	4249	5175
ENSG00000049768	14	21
ENSG00000049769	457	623
ENSG00000049860	1142	1331
ENSG00000049883	475	836
ENSG00000050030	13	61
ENSG00000050130	559	817
ENSG00000050165	88637	59981
ENSG00000050327	62	178
ENSG00000050344	306	642
ENSG00000050393	378	562
ENSG00000050405	920	2134
ENSG00000050426	943	1497
ENSG00000050438	24	44
ENSG00000050555	148	222
ENSG00000050628	33	238
ENSG00000050730	4	7
ENSG00000050748	1109	1500
ENSG00000050767	41	202
ENSG00000050820	1725	1918
ENSG00000051009	613	1071
ENSG00000051108	1855	3495
ENSG00000051128	176	107
ENSG00000051180	34	28
ENSG00000051341	90	93
ENSG00000051382	1003	1285
ENSG00000051523	528	953
ENSG00000051596	56	138
ENSG00000051620	1194	1901
ENSG00000051825	841	1253
ENSG00000052126	5338	6731
ENSG00000052344	25	46
ENSG00000052723	621	872
ENSG00000052749	452	556
ENSG00000052795	4457	5556
ENSG00000052802	417	419
ENSG00000052841	1968	3156
ENSG00000052850	21	42
ENSG00000053108	0	3
ENSG00000053254	4188	4627
ENSG00000053328	192	268
ENSG00000053371	577	942
ENSG00000053372	293	345
ENSG00000053438	129	204
ENSG00000053501	222	274
ENSG00000053524	27	30
ENSG00000053702	202	373
ENSG00000053747	371	1109
ENSG00000053770	1008	1597
ENSG00000053900	572	1039
ENSG00000053918	584	750
ENSG00000054116	793	944
ENSG00000054118	3677	5069
ENSG00000054148	507	628
ENSG00000054179	23	86
ENSG00000054219	16	37
ENSG00000054267	1322	2105
ENSG00000054277	6	48
ENSG00000054282	32	25
ENSG00000054356	0	1
ENSG00000054392	160	328
ENSG00000054523	7553	7556
ENSG00000054598	179	518
ENSG00000054611	665	809
ENSG00000054654	9629	21437
ENSG00000054690	191	502
ENSG00000054793	2256	3216
ENSG00000054796	0	0
ENSG00000054803	1	8
ENSG00000054938	27	24
ENSG00000054965	2161	3453
ENSG00000054967	151	254
ENSG00000054983	552	1100
ENSG00000055044	517	711
ENSG00000055070	1348	1729
ENSG00000055118	2831	3933
ENSG00000055130	1737	2378
ENSG00000055147	585	811
ENSG00000055163	729	2056
ENSG00000055208	2198	2937
ENSG00000055211	820	1171
ENSG00000055332	1509	2749
